id,name,lat,lon,typ,status,qualitaet,preis,quelle_import,dupe_flag,geaendert_am,gmaps_url,place_id,kueche,tags,quelle,geprueft_am
r0034,Bakery at Fotografiska Berlin,52.5257798,13.3887826,Bäcker,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJnyRRW-lRqEcRRze6KNlaH74,,"fruehstueck, kaffee",,2026-07-29
r0035,Bangkok Bites,52.534845,13.4188471,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJL9-SxHlPqEcRZH4TfMH0Tl0,thai,"lunch, dinner",,2026-07-29
r0036,Banh Mi Stable,52.5269387,13.4083159,Imbiss,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJOWUmGuJRqEcRuSq-0x-weu8,vietnamesisch,"lunch, dinner",,2026-07-29
r0037,Bar 3,52.526917,13.414779,Kneipe,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJ26ghOBxOqEcRSHEcHSdMJk4,,drinks,,2026-07-29
r0038,Bar Amélie,52.5258336,13.3907857,Cocktail-Bar,besucht,sehr_gut,teuer,fav,,2026-07-29,,ChIJ_RtQdhJRqEcRgjIEb88qptQ,,drinks,,2026-07-29
r0039,BAR internazionale,52.5261295,13.4109944,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJzeUPtjlPqEcRoQSuvzi7_I4,,"lunch, dinner",,2026-07-29
r0040,Bar Milano,52.5312939,13.4001221,Cocktail-Bar,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJk1L-H-VRqEcRRtQXQ63KtJc,,drinks,,2026-07-29
r0041,Bar Raval,52.49816,13.436448,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJ92nYtJgjZUERTveD7KF32Zc,,"lunch, dinner",,2026-07-29
r0042,Bar Zentral,52.505083,13.329117,Cocktail-Bar,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJY7z_KPxQqEcRepX97MJjsys,,drinks,,2026-07-29
r0043,BarbieBar,52.489517,13.386789,Cocktail-Bar,besucht,mittel,normal,fav,,2026-07-29,,ChIJr8tDNiZQqEcR3LiBuXluQ2E,,drinks,,2026-07-29
r0044,Barcomi’s Café & Kaffeerösterei,52.4890338,13.3934183,Café,besucht,gut,normal,fav,,2026-07-29,,,,"fruehstueck, kaffee, brunch",,2026-07-29
r0045,Becketts Kopf,52.545542,13.416931,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJS6oC6wBSqEcRw047FDcEIBE,,drinks,,2026-07-29
r0046,Beets & Roots,52.5266807,13.398543,Restaurant,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJ710vj-ZRqEcRN7hykiDjS5A,,"lunch, dinner",,2026-07-29
r0047,Bekarei - The Good Baking Company,52.5443172,13.4226478,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0048,BEN RAHIM,52.5250862,13.4020091,Café,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJ9wBfMOFRqEcRLuSC8Tu_yBM,,kaffee,,2026-07-29
r0049,Benedict,52.4969116,13.323843,Restaurant,besucht,unbewertet,ueberteuert,fav,filiale,2026-07-29,,ChIJjVDYvvBQqEcRe3lWJ0LSy3k,,"fruehstueck, brunch",,2026-07-29
r0050,BENEDICT,52.5416676,13.4215108,Restaurant,besucht,unbewertet,ueberteuert,fav,filiale,2026-07-29,,ChIJ5UL4SOFNqEcRtJ_vx8fCkoQ,,"fruehstueck, brunch",,2026-07-29
r0051,Berghain | Panorama Bar | Säule,52.5110714,13.44293,Club/Livemusik,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJn17Gi0NOqEcRfHX8oRvU9ms,,"drinks, music",,2026-07-29
r0052,Berlinburger International,52.4864764,13.4308417,Burger,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJzc10kLBPqEcRs9Sl55tktNs,,"lunch, dinner",,2026-07-29
r0053,Berliner Kaffeerösterei Uhlandstraße,52.5014854,13.3252931,Café,besucht,gut,normal,fav,,2026-07-29,,ChIJWzG7uftQqEcRS-9KDnvVeGg,,kaffee,,2026-07-29
r0054,Berta restaurant,52.50585,13.38018,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJD-ctKeBRqEcRslmNvtW1RGo,,"lunch, dinner",,2026-07-29
r0055,BESTE Bar,52.54403,13.36033,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJBysgdYFRqEcRYWZPtemzykk,,drinks,,2026-07-29
r0057,Bierhof Rüdersdorf,52.511363,13.44248,Biergarten,besucht,mittel,normal,fav,,2026-07-29,,ChIJn17Gi0NOqEcRm6FOfzXWY2k,,"kaffee, dinner, drinks",,2026-07-29
r0059,Birgit & Bier,52.4976929,13.4498057,Club/Livemusik,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJd47UeFROqEcRyVqbvjtyK64,,"drinks, music",,2026-07-29
r0060,Black Apron,52.5326749,13.3986089,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJ4WFlTOVRqEcRvR4Q7zhTNEY,,kaffee,,2026-07-29
r0061,Blackbeards,52.5468824,13.4182762,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0062,Bocca di Bacco,52.515111,13.3889679,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJP5g9KttRqEcRFKxx7VlSTNA,,"lunch, dinner",,2026-07-29
r0063,Bohnengold - Berlin,52.4978363,13.4240518,Club/Livemusik,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJgUxIP99PqEcRGJ7PUn2j1Tk,,"drinks, music",,2026-07-29
r0064,Bonanza Coffee,52.5141026,13.390803,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJ0VQ_MUpRqEcRg5v9H7DnciI,,kaffee,,2026-07-29
r0065,BonBon Bar Berlin,52.52972,13.399689,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJt4cTU-RRqEcRw3f8ubaEYrM,,drinks,,2026-07-29
r0066,Bootshaus Stella am Lietzensee,52.50884,13.29268,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJvZPF2NlQqEcR25ufCBZRFDI,,"lunch, dinner",,2026-07-29
r0067,booze bar berlin,52.5127655,13.458829,Cocktail-Bar,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJE5WVYF5OqEcRuGjHsF0APUI,,drinks,,2026-07-29
r0068,Borchardt,52.514999,13.390349,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJVfEmINtRqEcRsch0pslaanQ,,"lunch, dinner",,2026-07-29
r0069,BOTANICAL AFFAIRS,52.5298242,13.4047703,Cocktail-Bar,besucht,gut,normal,fav,,2026-07-29,,ChIJ1ZehceNRqEcR6ghxQDFv1jg,,drinks,,2026-07-29
r0071,Briefmarken Weine,52.517457,13.442612,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJ5-C8D2pOqEcROZDu_p3IJLw,,"lunch, dinner",,2026-07-29
r0072,BRLO Brwhouse,52.5000503,13.3736449,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJU1qJezNQqEcRC6S-QH3btN4,,drinks,,2026-07-29
r0073,Brooklyn Beef Club,52.511688,13.413668,Steak/Grill,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJh6S7qSVOqEcRNKbBovKX-ic,,"lunch, dinner",,2026-07-29
r0074,Brunello,52.507728,13.322444,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,,,"lunch, dinner",,2026-07-29
r0076,Bu Kon,52.5431409,13.4210771,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJG-Dbsf9NqEcR9x5eerFUFXs,vietnamesisch,"lunch, dinner",,2026-07-29
r0077,Buck and Breck,52.5321302,13.3989457,Cocktail-Bar,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJ6xA6OOVRqEcRAlUf8i6Osc8,,drinks,,2026-07-29
r0078,BURGERAMT,52.510245,13.459456,Burger,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJRQEnzbgjZUERU_NFE4CLji8,,"lunch, dinner",,2026-07-29
r0079,Burgermeister,52.501099,13.442523,Burger,besucht,sehr_gut,guenstig,fav,,2026-07-29,,ChIJ2Uh9Bk5OqEcREoy9N1LxImw,,"lunch, dinner",,2026-07-29
r0080,Cafe am neuen See,52.5108,13.344623,Biergarten,besucht,sehr_gut,normal,fav,,2026-07-29,,,,"fruehstueck, kaffee",,2026-07-29
r0081,Cafe Buondi,52.5302921,13.387681,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJEZx2OLlRqEcRfH_GytZSVY8,,"fruehstueck, brunch",,2026-07-29
r0084,Cafe Cup Arkona,52.5373172,13.4006891,Eis,besucht,mittel,normal,fav,,2026-07-29,,ChIJA8l3EPpRqEcRlioC6Xy6oCg,,kaffee,,2026-07-29
r0085,Cafe Fleury,52.531211,13.402148,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJhaJTleRRqEcRdKwdmMHgB_Y,,"fruehstueck, brunch",,2026-07-29
r0086,Cafe MokannTi,52.5437321,13.4185211,Café,besucht,gut,normal,fav,,2026-07-29,,ChIJPS6Nhv9NqEcRnzostC1k7vU,,kaffee,,2026-07-29
r0087,Cafe Rosenrot,52.57144,13.40892,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJKy7DyG5SqEcRFp8ZcgsHaz8,,"fruehstueck, brunch",,2026-07-29
r0088,Caffè Monelli Berlin,52.5480312,13.4153581,Café,besucht,gut,normal,fav,,2026-07-29,,,,kaffee,,2026-07-29
r0089,Café am Engelbecken,52.5062365,13.4186097,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJwzDZVDBOqEcRpJGfr287J1w,,"fruehstueck, kaffee, brunch",,2026-07-29
r0091,Café Anna Blume,52.537966,13.419546,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJld4fBgFOqEcR1gR_4gT6sfY,,"fruehstueck, brunch",,2026-07-29
r0093,Café Bonpland,52.516354,13.4604646,Café,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJ-SusPPBPqEcRulF7Lu9GhXM,,"fruehstueck, kaffee",,2026-07-29
r0094,Café Boulangerie,52.5429127,13.4206022,Bäcker,besucht,mittel,normal,fav,,2026-07-29,,ChIJd99aKxRNqEcRT_wmTB9kmSo,,"fruehstueck, kaffee",,2026-07-29
r0095,Café Bravo,52.526754,13.394972,Restaurant,besucht,gut,normal,fav,,2026-07-29,,ChIJjxlyGeZRqEcRZTdalowvhAA,,"fruehstueck, brunch",,2026-07-29
r0096,Café BUTTER,52.54396,13.41506,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJuVMvUABSqEcRqTEtBlwVETc,,"fruehstueck, kaffee, brunch",,2026-07-29
r0097,Café Cinema,52.524261,13.4026214,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJRyQVKOFRqEcRH0BD9bGM0Tk,,drinks,,2026-07-29
r0098,Café Komine,52.4978438,13.3417035,Café,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJvdOzzVBQqEcRTeArB11zlCI,,"fruehstueck, kaffee",,2026-07-29
r0100,Café Liebling,52.542127,13.4208349,Café,besucht,mittel,normal,fav,,2026-07-29,,ChIJZ69azP9NqEcRMwjNItE1MF4,,"fruehstueck, kaffee, brunch, lunch",,2026-07-29
r0102,Café Luzia,52.501734,13.418303,Kneipe,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJe-IgvDNOqEcR65aU1jfYOEk,,drinks,,2026-07-29
r0103,Café Marral,52.52725,13.3887101,Restaurant,besucht,mittel,normal,fav,,2026-07-29,,ChIJRzRcFelRqEcRjzb-Hfy6rDg,,"lunch, dinner",,2026-07-29
r0104,Café Oliv,52.524303,13.408792,Restaurant,besucht,unbewertet,ueberteuert,fav,,2026-07-29,,ChIJCxevJx5OqEcRwbqpyRUJmKg,,"fruehstueck, kaffee, brunch",,2026-07-29
r0105,Café Paula,52.5655496,13.4002559,Restaurant,besucht,sehr_gut,normal,fav,,2026-07-29,,ChIJb9OHzmpSqEcRSN2fwV1GIh8,,"fruehstueck, brunch, kaffee",,2026-07-29
r0106,Café Schroeder,52.5303634,13.3922809,Café,besucht,nie_wieder,normal,fav,,2026-07-29,,,,"fruehstueck, kaffee",,2026-07-29
r0107,Café Schwarzsauer,52.539033,13.409966,Kneipe,besucht,gut,normal,fav,,2026-07-29,,ChIJJ2evwv5RqEcRwxrqo_UHiMs,,drinks,,2026-07-29
